FATALITY_ID,EVENT_ID,FATALITY_TYPE,FATALITY_DATE,FATALITY_AGE,FATALITY_SEX,FATALITY_LOCATION
1006374,10064495,D,2/9/90 23:50,,,
1006375,10045643,D,2/9/90 19:45,,,
1006376,9996139,D,2/10/90 5:00,,,
1006377,9996145,D,2/10/90 5:10,,,
1006378,9996150,D,2/10/90 5:10,,,
1006379,9990991,D,3/14/90 19:40,,,
1006380,10076215,D,3/11/90 2:30,,,
1006381,10037680,D,3/13/90 17:00,,,
1006382,10037687,D,3/13/90 17:46,,,
1006383,10039163,D,3/17/90 11:00,,,
1006384,10039164,D,3/17/90 11:30,,,
1006385,10001261,D,3/29/90 15:45,,,
1006386,10136681,D,3/29/90 13:00,,,
1006387,10063437,D,4/1/90 14:05,,,
1006407,10137153,D,6/1/90 16:20,,,
1006408,10090696,D,7/1/90 15:00,,,
1006409,9993282,D,7/30/90 18:50,,,
1006410,10019105,D,8/28/90 13:18,,,
1006411,10003586,D,8/28/90 14:37,,,
1006412,10081361,D,9/3/90 15:00,,,
1006413,10055246,D,9/6/90 16:28,,,
1006414,10099579,D,9/6/90 18:15,,,
1006415,10110076,D,10/22/90 16:50,,,
1006416,10149470,D,10/18/90 15:00,,,
1006417,10062352,D,12/21/90 17:00,,,
1006418,10062345,D,12/21/90 15:30,,,
1006388,10063444,D,4/22/90 16:15,,,
1006389,10146354,D,4/25/90 14:09,,,
1006390,10102134,D,5/15/90 18:41,,,
1006391,10097279,D,5/4/90 18:50,,,
1006392,9996520,D,5/20/90 14:30,,,
1006393,10018985,D,5/16/90 19:30,,,
1006394,9990364,D,5/16/90 18:40,,,
1006395,10004980,D,5/16/90 18:42,,,
1006396,10146357,D,5/4/90 17:22,,,
1006397,9984116,D,6/26/90 15:30,,,
1006398,10077836,D,6/29/90 17:40,,,
1006399,10098151,D,6/3/90 15:05,,,
1006400,10086381,D,6/26/90 21:16,,,
1006401,10019038,D,6/2/90 19:21,,,
1006402,10019016,D,6/2/90 18:30,,,
1006403,10019026,D,6/2/90 18:50,,,
1006404,10020136,D,6/3/90 13:19,,,
1006405,10002495,D,6/29/90 7:10,,,
1006406,10005779,D,6/2/90 17:49,,,
